dataset,model,final_tp,final_fp,final_tn,final_fn,final_n,final_accuracy,final_precision,final_recall,final_f1,accuracy_ci_low,accuracy_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,latency_mean_s,latency_median_s,latency_p95_s,cloud_input_tokens_mean,cloud_output_tokens_mean,cloud_calls_mean,local_calls_mean,local_tokens_mean,total_tokens_mean,cloud_latency_mean_s,local_wall_latency_mean_s,local_gpu_duration_mean_s,local_load_duration_mean_s,cloud_charge_available,cloud_charge_total
ASQA-top5-76,DeepSeek-V4-Flash,75,7,69,1,152,0.9473684210526315,0.9146341463414634,0.9868421052631579,0.949367088607595,0.9144736842105263,0.9802631578947368,0.8620689655172413,0.9620253164556962,0.9605263157894737,1.0,0.9182389937106917,0.9803984819734345,33.07001115263924,30.175055700121447,69.05025773477969,28544.677631578947,1181.9868421052631,37.921052631578945,0.0,0.0,29726.66447368421,33.07001115263924,0.0,0.0,0.0,False,
ASQA-top5-76,Gemma3-12B,72,4,72,4,152,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9078947368421053,0.9802631578947368,0.8987341772151899,0.9864864864864865,0.8947368421052632,0.9868421052631579,0.9102564102564101,0.9798657718120806,29.50364820266182,27.11964510026155,62.27692633063986,3118.6973684210525,462.26973684210526,11.572368421052632,26.348684210526315,27363.434210526317,30944.401315789473,10.650194744100046,18.853453458561777,18.56590013092105,0.05895488421052632,False,
ASQA-top5-76,Gemma3-4B,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,0.7894736842105263,0.8947368421052632,0.8285714285714286,0.9552403424056188,0.6842105263157895,0.868421052631579,0.7659574468085107,0.8918918918918918,20.275106473037006,18.253255150048062,42.823083015007384,3118.6973684210525,462.26973684210526,11.572368421052632,26.348684210526315,27551.17105263158,31132.138157894737,10.650194744100046,9.624911728936958,9.322150684210525,0.05239210460526316,False,
ASQA-top5-76,Phi4-14B,76,12,64,0,152,0.9210526315789473,0.8636363636363636,1.0,0.9268292682926829,0.875,0.9605263157894737,0.8,0.926829268292683,1.0,1.0,0.888888888888889,0.9620253164556963,25.111181264525698,21.68240875005722,56.157830774766566,3118.6973684210525,462.26973684210526,11.572368421052632,26.348684210526315,26656.526315789473,30237.49342105263,10.650194744100046,14.46098652042565,14.051642925000001,0.06360845197368421,False,
HaluEvalQA-3206-afterHuman,DeepSeek-V4-Flash,2523,188,2962,683,6356,0.8629641283826306,0.9306528956104758,0.7869619463505927,0.852797025519689,0.8546217711791086,0.8713142956661248,0.9218266661025295,0.9393267098596434,0.7729257641921398,0.8009981285090455,0.8431083235508741,0.8622134418830429,10.958508056737873,6.6529765000450425,21.199448725194088,4316.026274386407,379.7314348646948,12.786028949024544,0.0,0.0,4695.757709251101,10.958508056737873,0.0,0.0,0.0,False,
HaluEvalQA-3206-afterHuman,Gemma3-12B,2344,176,2974,862,6356,0.8366897419760856,0.9301587301587302,0.7311291328758578,0.8187216206776109,0.8279848436767837,0.8452586884730303,0.9201698108957029,0.9392750148658047,0.715837492202121,0.7461010605115409,0.8078344590102404,0.8290841900919661,8.683120963327234,5.2222313497914,16.919864724914078,1214.6497797356828,156.58716173694148,4.379798615481435,8.406230333543109,3563.7042164883574,4934.941157960981,4.256588804783528,4.426532158543707,4.277114508118313,0.019508057394587792,False,
HaluEvalQA-3206-afterHuman,Gemma3-4B,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,0.7898626294127047,0.808608328593041,0.9147352066385734,0.9352717235942141,0.6394260761072988,0.6718652526512788,0.7541465484483506,0.7797226289814404,6.400026084220529,3.8224027500255033,12.362212575186277,1214.6497797356828,156.58716173694148,4.379798615481435,8.406230333543109,3579.388766519824,4950.625707992448,4.256588804783528,2.143437279437001,1.9884367712397735,0.015632486674008808,False,
HaluEvalQA-3206-afterHuman,Phi4-14B,2537,212,2938,669,6356,0.8613908118313405,0.9228810476536923,0.7913287585776668,0.8520570948782537,0.8534492599473754,0.8693340358055202,0.9131202819246326,0.9321535545884971,0.7772847785402371,0.8047411104179664,0.8428152918738524,0.8612850685511056,8.41695793481831,5.051915600110078,16.25218877485895,1214.6497797356828,156.58716173694148,4.379798615481435,8.406230333543109,3453.646475770925,4824.883417243549,4.256588804783528,4.160369130034783,4.036015547466961,0.018890760871617368,False,
