dataset,policy,stage1_tp,stage1_fp,stage1_tn,stage1_fn,stage1_n,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,final_tp,final_fp,final_tn,final_fn,final_n,final_accuracy,final_precision,final_recall,final_f1,accuracy_ci_low,accuracy_ci_high,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,f1_ci_low,f1_ci_high,routed_factoids,total_factoids,factoid_escalation_rate,routed_responses,total_responses,response_escalation_rate,rescued,harmed,routed_stage1_errors,net_correct_gain,rescue_rate_response,error_conditional_rescue_rate,harm_rate_response,rescue_rate_all_responses,harm_rate_all_responses,latency_mean_s,latency_median_s,latency_p95_s,cloud_tokens_mean,cloud_calls_mean,local_calls_mean,local_tokens_mean,total_tokens_mean,cloud_latency_mean_s,local_wall_latency_mean_s,local_gpu_duration_mean_s,local_load_duration_mean_s,routing_latency_mean_s,cloud_charge_available,cloud_charge_total
ASQA-top5-76,anomaly_count,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,73,5,71,3,152,0.9473684210526315,0.9358974358974359,0.9605263157894737,0.948051948051948,0.9144736842105263,0.9802631578947368,0.8823529411764706,0.9863013698630136,0.9078947368421053,1.0,0.913907284768212,0.9803921568627451,178,801,0.2222222222222222,95,152,0.625,19,3,23,16,0.2,0.8260869565217391,0.031578947368421054,0.125,0.019736842105263157,25.29492638355556,22.65362399833227,59.80413207849939,9397.256578947368,17.42763157894737,26.348684210526315,27551.17105263158,36948.42763157895,15.670007807250123,9.624911728936958,9.322150684210525,0.05239210460526316,6.847368479755364e-06,False,
ASQA-top5-76,full_escalation,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,75,7,69,1,152,0.9473684210526315,0.9146341463414634,0.9868421052631579,0.949367088607595,0.9144736842105263,0.9802631578947368,0.8620689655172413,0.9620253164556962,0.9605263157894737,1.0,0.9182389937106917,0.9803984819734345,801,801,1.0,152,152,1.0,22,6,24,16,0.14473684210526316,0.9166666666666666,0.039473684210526314,0.14473684210526316,0.039473684210526314,42.69492939868206,38.85065033310587,90.45346476354842,29726.66447368421,37.921052631578945,26.348684210526315,27551.17105263158,57277.83552631579,33.07001115263924,9.624911728936958,9.322150684210525,0.05239210460526316,6.517105870635102e-06,False,
ASQA-top5-76,learned_router_matched_rate,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,74,5,71,2,152,0.9539473684210527,0.9367088607594937,0.9736842105263158,0.9548387096774194,0.9210526315789473,0.9802631578947368,0.8836867305061559,0.9866666666666667,0.9342105263157895,1.0,0.9230769230769231,0.9806451612903226,316,801,0.3945068664169788,124,152,0.8157894736842105,21,4,24,17,0.1693548387096774,0.875,0.03225806451612903,0.13815789473684212,0.02631578947368421,29.1395656651324,25.768705849710386,71.03633296471668,13893.763157894737,21.967105263157894,26.348684210526315,27551.17105263158,41444.93421052631,19.514653936195444,9.624911728936958,9.322150684210525,0.05239210460526316,0.0,False,
ASQA-top5-76,no_escalation,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,0.7894736842105263,0.8947368421052632,0.8285714285714286,0.9552403424056188,0.6842105263157895,0.868421052631579,0.7659574468085107,0.8918918918918918,0,801,0.0,0,152,0.0,0,0,0,0,,,,0.0,0.0,20.275112517115257,18.253260884754017,42.82309626217814,3580.967105263158,11.572368421052632,26.348684210526315,27551.17105263158,31132.138157894737,10.650194744100046,9.624911728936958,9.322150684210525,0.05239210460526316,6.044078250660708e-06,False,
ASQA-top5-76,oracle_minimal_rescue,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,76,2,74,0,152,0.9868421052631579,0.9743589743589743,1.0,0.9870129870129869,0.9671052631578947,1.0,0.9382716049382716,1.0,1.0,1.0,0.9681528662420382,1.0,24,801,0.0299625468164794,22,152,0.14473684210526316,22,0,22,22,1.0,1.0,0.0,0.14473684210526316,0.0,20.96895163882781,18.673134950047825,43.19065929010391,4379.2171052631575,12.361842105263158,26.348684210526315,27551.17105263158,31930.388157894737,11.344039909890853,9.624911728936958,9.322150684210525,0.05239210460526316,0.0,False,
ASQA-top5-76,paradox_only,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,72,5,71,4,152,0.9407894736842105,0.935064935064935,0.9473684210526315,0.9411764705882352,0.9013157894736842,0.9736842105263158,0.8846153846153846,0.9863013698630136,0.8947368421052632,0.9868421052631579,0.9044585987261147,0.974025974025974,284,801,0.3545568039950062,118,152,0.7763157894736842,19,4,22,15,0.16101694915254236,0.8636363636363636,0.03389830508474576,0.125,0.02631578947368421,28.125034376313316,25.28490493676011,61.75769638472494,12889.736842105263,20.914473684210527,26.348684210526315,27551.17105263158,40440.90789473684,18.500115945402957,9.624911728936958,9.322150684210525,0.05239210460526316,6.7019734016962746e-06,False,
ASQA-top5-76,strict,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,74,6,70,2,152,0.9473684210526315,0.925,0.9736842105263158,0.9487179487179489,0.9144736842105263,0.9802631578947368,0.8705882352941177,0.974025974025974,0.9342105263157895,1.0,0.9171974522292994,0.9803921568627451,348,801,0.4344569288389513,127,152,0.8355263157894737,21,5,24,16,0.16535433070866143,0.875,0.03937007874015748,0.13815789473684212,0.03289473684210526,30.017650988160504,28.239025706081875,71.03635142734024,14933.822368421053,23.019736842105264,26.348684210526315,27551.17105263158,42484.99342105263,20.392731717117528,9.624911728936958,9.322150684210525,0.05239210460526316,7.542106016588054e-06,False,
ASQA-top5-76,strong_only,,,,,,,,,,75,7,69,1,152,0.9473684210526315,0.9146341463414634,0.9868421052631579,0.949367088607595,0.9144736842105263,0.9802631578947368,0.8620689655172413,0.9620253164556962,0.9605263157894737,1.0,0.9182389937106917,0.9803984819734345,,,,,,,,,,,,,,,,33.07001115263924,30.175055700121447,69.05025773477969,29726.66447368421,37.921052631578945,0.0,0.0,29726.66447368421,33.07001115263924,0.0,0.0,0.0,0.0,False,
ASQA-top5-76,structure_aware,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,74,6,70,2,152,0.9473684210526315,0.925,0.9736842105263158,0.9487179487179489,0.9144736842105263,0.9802631578947368,0.8705882352941177,0.974025974025974,0.9342105263157895,1.0,0.9171974522292994,0.9803921568627451,316,801,0.3945068664169788,125,152,0.8223684210526315,21,5,24,16,0.168,0.875,0.04,0.13815789473684212,0.03289473684210526,29.082449289474567,26.041664450890828,66.24437769430388,13922.940789473685,21.967105263157894,26.348684210526315,27551.17105263158,41474.11184210526,19.457525913169345,9.624911728936958,9.322150684210525,0.05239210460526316,1.1647368266590332e-05,False,
ASQA-top5-76,structure_aware_no_cross_side,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,74,5,71,2,152,0.9539473684210527,0.9367088607594937,0.9736842105263158,0.9548387096774194,0.9210526315789473,0.9802631578947368,0.8888888888888888,0.9866666666666667,0.9342105263157895,1.0,0.9230769230769231,0.9806451612903226,310,801,0.38701622971285893,125,152,0.8223684210526315,21,4,24,17,0.168,0.875,0.032,0.13815789473684212,0.02631578947368421,28.921236766445585,26.041664074485645,66.2443767005942,13727.546052631578,21.769736842105264,26.348684210526315,27551.17105263158,41278.71710526316,19.29631378685161,9.624911728936958,9.322150684210525,0.05239210460526316,1.1250657017195695e-05,False,
ASQA-top5-76,structure_aware_no_paradox,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,73,6,70,3,152,0.9407894736842105,0.9240506329113924,0.9605263157894737,0.9419354838709677,0.9013157894736842,0.9736842105263158,0.8705882352941177,0.9736842105263158,0.9078947368421053,1.0,0.9066666666666667,0.974025974025974,175,801,0.2184769038701623,95,152,0.625,18,3,23,15,0.18947368421052632,0.782608695652174,0.031578947368421054,0.11842105263157894,0.019736842105263157,25.208774113159865,22.653626885722634,58.123842213602174,9301.66447368421,17.32894736842105,26.348684210526315,27551.17105263158,36852.83552631579,15.583851189486603,9.624911728936958,9.322150684210525,0.05239210460526316,1.1194736304643907e-05,False,
ASQA-top5-76,structure_aware_no_two_antonym,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,74,6,70,2,152,0.9473684210526315,0.925,0.9736842105263158,0.9487179487179489,0.9144736842105263,0.9802631578947368,0.8705882352941177,0.974025974025974,0.9342105263157895,1.0,0.9171974522292994,0.9803921568627451,315,801,0.39325842696629215,125,152,0.8223684210526315,21,5,24,16,0.168,0.875,0.04,0.13815789473684212,0.03289473684210526,29.058593358552713,26.041663872238367,64.78335033122761,13892.355263157895,21.93421052631579,26.348684210526315,27551.17105263158,41443.52631578947,19.433670592116727,9.624911728936958,9.322150684210525,0.05239210460526316,1.1037499031150028e-05,False,
ASQA-top5-76,structure_aware_no_uncertainty,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,72,6,70,4,152,0.9342105263157895,0.9230769230769231,0.9473684210526315,0.935064935064935,0.8947368421052632,0.9671052631578947,0.8690476190476191,0.9733333333333334,0.8947368421052632,0.9868421052631579,0.8979591836734694,0.9681528662420382,292,801,0.3645443196004994,120,152,0.7894736842105263,19,5,22,14,0.15833333333333333,0.8636363636363636,0.041666666666666664,0.125,0.03289473684210526,28.365893941446924,25.28490851129242,61.75770858281645,13149.217105263158,21.17763157894737,26.348684210526315,27551.17105263158,40700.38815789474,18.74097080132541,9.624911728936958,9.322150684210525,0.05239210460526316,1.1411184555311737e-05,False,
ASQA-top5-76,uncertainty_only,59,7,69,17,152,0.8421052631578947,0.8939393939393939,0.7763157894736842,0.8309859154929577,65,7,69,11,152,0.881578947368421,0.9027777777777778,0.8552631578947368,0.8783783783783783,0.8289473684210527,0.9276315789473685,0.8421052631578947,0.9583333333333334,0.7763157894736842,0.9342105263157895,0.8219178082191781,0.9271523178807947,36,801,0.0449438202247191,25,152,0.16447368421052633,6,0,7,6,0.24,0.8571428571428571,0.0,0.039473684210526314,0.0,21.340021962512093,18.7107873616022,49.88200217318292,4741.1973684210525,12.756578947368421,26.348684210526315,27551.17105263158,32292.36842105263,11.715103720416664,9.624911728936958,9.322150684210525,0.05239210460526316,6.513158472156838e-06,False,
HaluEvalQA-3206-afterHuman,anomaly_count,2101,170,2980,1105,6356,0.7994021397105098,0.9251431087626596,0.6553337492202121,0.7672083257257623,2369,164,2986,837,6356,0.8425110132158591,0.935254638768259,0.7389270118527761,0.8255793692280885,0.8338819802704963,0.8508897957976762,0.9261002446115362,0.9441076600239163,0.7233312538989395,0.7535870243293824,0.814996355386411,0.8357287865073182,4658,10686,0.4358974358974359,2490,6356,0.39175582127123976,384,110,642,274,0.15421686746987953,0.5981308411214953,0.04417670682730924,0.06041535556954059,0.017306482064191317,9.339550032661492,5.42767986489283,18.42279650200878,2826.831969792322,8.044052863436123,8.406230333543109,3579.388766519824,6406.220736312146,7.196110542683251,2.143437279437001,1.9884367712397735,0.015632486674008808,2.210541239126701e-06,False,
