category,n,supported,unsupported,stage1_tp,stage1_fp,stage1_tn,stage1_fn,stage1_n,stage1_accuracy,stage1_precision,stage1_recall,stage1_f1,final_tp,final_fp,final_tn,final_fn,final_n,final_accuracy,final_precision,final_recall,final_f1,routed,escalation_rate,missed_detection,missed_detection_rate,over_escalation,over_escalation_rate,success_pass,success_pass_rate,valid_escalation,valid_escalation_rate,rescued,rescue_rate,harmed,harm_rate,net_correct_gain,error_conditional_rescue_rate,escalation_efficiency_per_100,failure_families_json
ALL,700,350,350,245,20,330,105,700,0.8214285714285714,0.9245283018867925,0.7,0.7967479674796748,313,6,344,37,700,0.9385714285714286,0.9811912225705329,0.8942857142857142,0.9357249626307922,395,0.5642857142857143,22,0.03142857142857143,292,0.41714285714285715,283,0.4042857142857143,103,0.14714285714285713,91,0.23037974683544304,9,0.02278481012658228,82,0.883495145631068,20.759493670886076,"{""Antonym/reversal failure"": 5, ""Baseline decision error without routing signal"": 20, ""Compound probe failure"": 3, ""Explicit paradox"": 339, ""No detected failure"": 275, ""Original verdict uncertainty"": 48, ""Synonym preservation failure"": 10}"
Comparative / Superlative,100,50,50,31,2,48,19,100,0.79,0.9393939393939394,0.62,0.7469879518072288,45,1,49,5,100,0.94,0.9782608695652174,0.9,0.9375,66,0.66,1,0.01,46,0.46,33,0.33,20,0.2,16,0.24242424242424243,1,0.015151515151515152,15,0.8,22.727272727272727,"{""Baseline decision error without routing signal"": 1, ""Explicit paradox"": 57, ""No detected failure"": 32, ""Original verdict uncertainty"": 9, ""Synonym preservation failure"": 1}"
Entity / Alias / Lexical Relation,100,50,50,31,0,50,19,100,0.81,1.0,0.62,0.7654320987654321,40,0,50,10,100,0.9,1.0,0.8,0.888888888888889,49,0.49,7,0.07,37,0.37,44,0.44,12,0.12,11,0.22448979591836735,2,0.04081632653061224,9,0.9166666666666666,18.367346938775512,"{""Antonym/reversal failure"": 1, ""Baseline decision error without routing signal"": 5, ""Compound probe failure"": 1, ""Explicit paradox"": 42, ""No detected failure"": 43, ""Original verdict uncertainty"": 5, ""Synonym preservation failure"": 3}"
Multi-entity / Multi-hop,100,50,50,33,2,48,17,100,0.81,0.9428571428571428,0.66,0.7764705882352942,44,1,49,6,100,0.93,0.9777777777777777,0.88,0.9263157894736842,47,0.47,4,0.04,32,0.32,49,0.49,15,0.15,13,0.2765957446808511,1,0.02127659574468085,12,0.8666666666666667,25.53191489361702,"{""Antonym/reversal failure"": 2, ""Baseline decision error without routing signal"": 4, ""Explicit paradox"": 39, ""No detected failure"": 45, ""Original verdict uncertainty"": 6, ""Synonym preservation failure"": 4}"
Negation / Exception,100,50,50,46,10,40,4,100,0.86,0.8214285714285714,0.92,0.8679245283018867,45,2,48,5,100,0.93,0.9574468085106383,0.9,0.9278350515463918,58,0.58,2,0.02,46,0.46,40,0.4,12,0.12,9,0.15517241379310345,2,0.034482758620689655,7,0.75,12.068965517241379,"{""Antonym/reversal failure"": 1, ""Baseline decision error without routing signal"": 2, ""Compound probe failure"": 1, ""Explicit paradox"": 52, ""No detected failure"": 40, ""Original verdict uncertainty"": 4}"
Numerical / Computation,100,50,50,34,2,48,16,100,0.82,0.9444444444444444,0.68,0.7906976744186047,48,1,49,2,100,0.97,0.9795918367346939,0.96,0.9696969696969697,62,0.62,2,0.02,46,0.46,36,0.36,16,0.16,16,0.25806451612903225,1,0.016129032258064516,15,1.0,24.193548387096776,"{""Baseline decision error without routing signal"": 2, ""Explicit paradox"": 53, ""No detected failure"": 36, ""Original verdict uncertainty"": 9}"
Quantifier / Boundary,100,50,50,36,2,48,14,100,0.84,0.9473684210526315,0.72,0.8181818181818181,46,1,49,4,100,0.95,0.9787234042553191,0.92,0.9484536082474226,52,0.52,3,0.03,39,0.39,45,0.45,13,0.13,13,0.25,2,0.038461538461538464,11,1.0,21.153846153846153,"{""Antonym/reversal failure"": 1, ""Baseline decision error without routing signal"": 3, ""Explicit paradox"": 42, ""No detected failure"": 44, ""Original verdict uncertainty"": 9, ""Synonym preservation failure"": 1}"
Time / Sequence,100,50,50,34,2,48,16,100,0.82,0.9444444444444444,0.68,0.7906976744186047,45,0,50,5,100,0.95,1.0,0.9,0.9473684210526316,61,0.61,3,0.03,46,0.46,36,0.36,15,0.15,13,0.21311475409836064,0,0.0,13,0.8666666666666667,21.311475409836067,"{""Baseline decision error without routing signal"": 3, ""Compound probe failure"": 1, ""Explicit paradox"": 54, ""No detected failure"": 35, ""Original verdict uncertainty"": 6, ""Synonym preservation failure"": 1}"
