dataset,preparation_status,source_records,prepared_responses,source_factoids,prepared_factoids,unresolved_decompositions,unresolved_decomposition_rate,unresolved_mutations,unresolved_mutation_rate,probe_warning_factoids,responses_without_valid_probes,excluded_zero_probe_responses,all_run_manifests_complete,dataset_sha256,prepared_sha256
ASQA-top5-76,complete_with_unresolved_preparation,152,152,802,801,0,0.0,1,0.0012468827930174563,62,0,0,True,b4189a7be2798cee0f6f1cf43a07597682ac7eb199ae29f9d6f105a670b69f78,335434c76f0be3e6bbe2fea32cf0b5d4e988642e97bb8abfb6364f7b25f8b725
HaluEvalQA-3206-afterHuman,complete_with_unresolved_preparation,6412,6412,10708,10686,39,0.006082345601996257,22,0.002054538662682107,1916,56,56,True,52b474d61f76f72b267a8a88985cdb638893a401fd0b7c62fdb5db697aa4d699,7f369ff5869b6bd7c0feb6ed171392e638c8dbc799d45d4b8dcd71818249d039
RQ3-main700-final,complete,700,700,700,700,0,0.0,0,0.0,43,0,0,True,c3f868a3af409dbf61838f4edce8820c01a8a62f7c7fe70c3457a94dd5db331a,4e272dd502c2aca3cbf243075d3495b7188401573d17f8ff8c7ea655c334f5e2
RQ3-replication140-final,complete,140,140,140,140,0,0.0,0,0.0,13,0,0,True,337595d8d4f4dd8ea6240c4b3aded1d851afe36f84bfdc9c9f5c517aba4f302e,351676cddfd8e226124e4ccf373a40c008becfdf3288b24c0d30cbbde9695fed
